Name,State,upto,Address,telephone/Mobile no.,Principal name 
GOVT MODEL SR SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2019 
","SECT 32-C CHANDIGARH,160047","0172,2676004","
Head/Principal Name:RANJNA KHOSLA
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECT 16 CHANDIGARH,160016","0172,2700186","
Head/Principal Name:NEETA SANDHU
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR 40 CHANDIGARH,160   ","0172,2677001","
Head/Principal Name:AMARJIT KAUR
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR-46 D CHANDIGARH,160   ","0172,2678515","
Head/Principal Name:SUDESH RAGHAV
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","MANIMAJRA CHANDIGARH,160101","0172,2738424","
Head/Principal Name:RAJESH KUMAR
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR 33D CHANDIGARH,160047","0172,2676022","
Head/Principal Name:Indra Beniwal
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECT-22A CHANDIGARH,160022","0172,2700082","
Head/Principal Name:PROMILA KUMARI SHARMA
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR-21 A CHANDIGARH,160022","0172,2700101","
Head/Principal Name:Mrs. Sukhpal
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR-23 A CHANDIGARH,160023","0172,2700009","
Head/Principal Name:SANJAY KUMAR WALIA
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECT 27C CHANDIGARH,160019","0172,2679014","
Head/Principal Name:SUNITA SINGH
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR 10 A CHANDIGARH,160010","0172,2740146","
Head/Principal Name:HARBIR SINGH ANAND
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECT-19C CHANDIGARH,160019","0172,2700259","
Head/Principal Name:RAVINDER KAUR
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2020 
","SECTOR-35 D CHANDIGARH,160035","0172,2676006","
Head/Principal Name:RAVINDER KAUR
"
GOVT MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR-37B CHANDIGARH,160010","0172,2677005","
Head/Principal Name:HARMEET KAUR
"
GOVT MODEL SR. SEC. SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECT-20 D CHANDIGARH,160020","0172,2700108","
Head/Principal Name:MEENA
"
GOVT MODEL SR. SEC. SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SARANGPUR UT CHANDIGARH,160014","0172,6505057","
Head/Principal Name:INDERMOHAN KAUR
"
GOVT SECONDARY HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","MALAYA CHANDIGARH,160101","0172,2617002","
Head/Principal Name:KAMLESH
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2008 
","DADU MAJRA COLONY SECTOR 38 W CHANDIGARH,160023","0172,2617001","
Head/Principal Name:CHITRANJAN SINGH
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2018 
","SECTOR 45-A CHANDIGARH,160019","0172,2676028","
Head/Principal Name:RAJEEV KUMAR
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","MANIMAJRA TOWN CHANDIGARH,160101","0172,2751002","
Head/Principal Name:RAMNIK KAUR
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR-26 T M CHANDIGARH,160026","172,2790210","
Head/Principal Name:Veena Kapur
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2026 
","KARSAN RAMDARBAR COLONY PHASE II CHANDIGARH,160031","0172,2679008","
Head/Principal Name:NEENA SHARMA
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","DHANAS CHANDIGARH,160   ","0172,2677009","
Head/Principal Name:NIRMAL SINGH
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2014 
","SECTOR-20 D CHANDIGARH,160020","0172,2700086","
Head/Principal Name:USHA KIRAN
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2021 
","SECTOR-15C CHANDIGARH,160016","0172,2700164","
Head/Principal Name:NEENA KALIA
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","RAIPUR KHURD CHANDIGARH,160003","0172,2679024","
Head/Principal Name:manjit kaur
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","MAULI P.O. RAIPUR KALAN CHANDIGARH,160   ","0172,2751000","
Head/Principal Name:SUNITA RANI
"
GOVT SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2026 
","NEW BUILDING SECT 37 C CHANDIGARH,160031","0172,2677004","
Head/Principal Name:INDERBIR KAUR
"
GOVT. HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR-53, CHANDIGARH,143109","0172,2637613","
Head/Principal Name:KULDEEP KAUR
"
GOVT. MODEL HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECT-49,D, CHANDIGARH-160047,",",","
Head/Principal Name:.
"
GOVT. MODEL HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","POCKET NO. 8, MANIMAJRA, CHANDIGARH,,",",","
Head/Principal Name:.
"
"GOVT. MODEL HIGH SCHOOL,",CHANDIGARH,"
Affiliated up to: 31/03/2023 
","POCKET  NO. 1, MANI MAJRA, CHANDIGARH-160 101,",",","
Head/Principal Name:.
"
GOVT. MODEL HIGH SCHOOL-II,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","DHANAS,U.T. CHANDIGARH,571117","0172,2680808","
Head/Principal Name:RAVINDER KAUR
"
GOVT. MODEL SR. SEC. SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2018 
","SECT-56,   CHANDIGARH,160014","0172,2636875","
Head/Principal Name:SHASHI BALA
"
GURU NANAK KHALSA SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR-30B CHANDIGARH,160020","0172,2654693","
Head/Principal Name:Rajwinder Kaur
"
GURU NANAK PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECTOR-36 D CHANDIGARH,160036","0172,2605019","
Head/Principal Name:GURNAM KAUR GREWAL
"
GURU TEG BAHADUR PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR 15 C CHANDIGARH,160022","0172,2783013","
Head/Principal Name:CHARANPREET KAUR
"
GURUKUL GLOBAL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2026 
","NEAR IT PARK, ADJOINING POLICE STATION, MANIMAJRA,160101","0172,2735100","
Head/Principal Name:Urvashi Kakkar
"
GYANDEEP MODEL HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECTOR 20 C CHANDIGARH,110040","0172,2771945","
Head/Principal Name:SUMAN DESWAL
"
INSTITUTE F THE BLIND,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECT 26, CHANDIGARH,160019","0172,2793950","
Head/Principal Name:Jagannath Singh Jayara
"
ISHWAR SINGH DEV SAMAJ  SR SEC,CHANDIGARH,"
Affiliated up to: 31/03/2008 
","SCHOOL SECTOR-21C CHANDIGARH,160022","0172,2706601","
Head/Principal Name:SUMATI KANWAR
"
JAWAHAR NAVODAYA VIDYALAYA,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECT 25 (W) CHANDIGARH,160047","0172,2710236","
Head/Principal Name:Santosh Sharma
"
KAILASH BAHL D A V CENTENARY PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECTOR 7 B CHANDIGARH,160019","0172,2791496","
Head/Principal Name:POOJA PRAKASH
"
KENDRIYA VIDYALAYA,CHANDIGARH,"
Affiliated up to: 31/03/2027 
","SECTOR-47 CHANDIGARH,160031","0172,2633404","
Head/Principal Name:AMITA SHARMA
"
KENDRIYA VIDYALAYA,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECT-31  CHANDIGARH,160030","0172,2638953","
Head/Principal Name: DR SANDHYA SHARMA
"
KENDRIYA VIDYALAYA,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","AIR FORCE STATION HIGH GROUND CHANDIGARH,160003","0176,288044","
Head/Principal Name:SHAM CHAWLA
"
KENDRIYA VIDYALAYA,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","O C F SECTOR 29-B CHANDIGARH,160020","0172,2658645","
Head/Principal Name:JUGAL KISHORE
"
KENDRIYA VIDYALAYA,CHANDIGARH,"
Affiliated up to: 31/03/2021 
","'K' AREA ZIRAKPUR VIA AERODROME CHANDIGARH,160003","01762,270844","
Head/Principal Name:SMT S K BHATIA
"
KENDRIYA VIDYALAYA NO 2,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","3 B R D A F S CHANDIGARH,160003","0172,2655097","
Head/Principal Name:SANJAY KUMAR MISRA
"
KIDS-R-KIDS SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECTOR 42-C, CHANDIGARH,160036",",01725074951","
Head/Principal Name:MRS. ANUPAM GREWAL
"
KUNDAN INTERNATIONAL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR 46 B,160047","0172,8699059502","
Head/Principal Name:Manjeet Jauhar
"
MAHARISHI DAYANAND ADARSH VIDYALAYA,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR 22A CHANDIGARH,160022","0172,2701531","
Head/Principal Name:NEELAM SHARMA
"
MANAV MANGAL HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2021 
","SECTOR-21C CHANDIGARH,160022","0172,5039039","
Head/Principal Name:Sanjay Sardana
"
MEHR CHAND MAHAJAN D A V COLLEGE FOR,CHANDIGARH,"
Affiliated up to: 31/03/1996 
","WOMEN SECTOR-36 A CHANDIGARH,160047","03862,0172-2633772","
Head/Principal Name:MRS SNEH MAHAJAN
"
MODERN WAYS MODEL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECTOR 29-C CHANDIGARH,181205","172,2638117","
Head/Principal Name:GIRISH SACHDEVA
"
MOTI RAM ARYA SR SEC MODEL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2026 
","SECTOR-27A CHANDIGARH,160019","0172,2651058","
Head/Principal Name:SAROJ SAVANT
"
MOUNT CARMEL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR 47-B CHANDIGARH,160047","0172,2630145","
Head/Principal Name:IONA VALERIE BRENDISH
"
PANDIT MOHAN LAL SANATAN DHARAMA PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECTOR 32 C CHANDIGARH,160031","0172,2609669","
Head/Principal Name:MONICA SHARMA
"
RIMT WORLD SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","OPPOSITE SHIVALIK GARDENS, MANIMAJRA,160101","0172,2735440","
Head/Principal Name:POONAM KATOCH
"
RYAN INTERNATIONAL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR 49 B,110048","0172,2632410","
Head/Principal Name:POONAM SHARMA
"
S D SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2011 
","SECTOR-24 CHANDIGARH,160023","0172,2780011","
Head/Principal Name:DR NISHA GUPTA
"
SACRED HEART SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR-26 CHANDIGARH,160026","0172,2792297","
Head/Principal Name:Sr Nisha
"
SAINT KABIR PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2026 
","SECTOR-26, CHANDIGARH,160019","0172,01722791459","
Head/Principal Name:MR. RATTANBIR SINGH
"
SAINT SOLDIER INTERNATIONAL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR 28-B CHANDIGARH,160002","0172,5024737","
Head/Principal Name:VIJAYA SIDHU
"
SAUPIN'S SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","PLOT NO 14 SECTOR 32 A CHANDIGARH,160047","0172,2606090","
Head/Principal Name:SURITA SHARMA
"
SHARDA SARVHITKARI SR. SEC.SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECTOR 40 D CHANDIGARH,110018","0172,2694114","
Head/Principal Name:B S KANWAR
"
SHISHU NIKETAN MODEL SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR-22D CHANDIGARH,160022","0172,01722704966","
Head/Principal Name:MRS. AMITA KHORANA
"
SHISHU NIKETAN PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SEC 43 A CHANDIGARH,160043","0172,2648966","
Head/Principal Name:VEENA ARORA
"
SHIVALIK PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR-41B CHANDIGARH,160036","0172,2626913","
Head/Principal Name:Gurkiran Jeet Nalwa
"
SRI AUROBINDO SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SEC 27-A CHANDIGARH,160047","0172,2656014","
Head/Principal Name:ANJALI SHARMA
"
SRI GURU  GOBIND SINGH COLLEGIATE PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","PUBLIC SCHOOL SECTOR 26 CHANDIGARH,110018","0172,2790071","
Head/Principal Name:AMANPREET KAUR
"
SRI GURU GOBIND SINGH PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR-35B CHANDIGARH-160035,160035","0172,2647077","
Head/Principal Name:Kanwaljit Kaur
"
SRI GURU GOBIND SINGH SR SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2015 
","SECTOR-35B CHANDIGARH,160022","0172,2621555","
Head/Principal Name:HARJEET KAUR
"
SRI GURU HARKRISHAN MODEL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR-38 D CHANDIGARH,160014","0172,2691673","
Head/Principal Name:HARPREET KAUR
"
SRI GURU HARKRISHAN PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2020 
","SECTOR 40-C CHANDIGARH,160040","0172,01722625613","
Head/Principal Name:MRS. PRITINDER KAUR
"
ST MARY'S SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR 46-B CHANDIGARH,160   ","0172,2633776","
Head/Principal Name:MM Thomas
"
ST. ANNES CONVENT SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR-32 C CHANDIGARH,160030","0172,01722603278","
Head/Principal Name:DR. SHYNI PAUL
"
ST. JOHN'S HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR 26 CHANDIGARH,160   ","0172,2792573","
Head/Principal Name:KAVITA C DAS
"
ST. PETER'S SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2023 
","SECTOR 37-B, CHANDIGARH,160036","0172,2698800","
Head/Principal Name:Geeta Kaushik
"
ST.JOSEPH HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR 44-D CHANDIGARH,160047","0172,4639566","
Head/Principal Name:MONICA CHAWLA
"
STEPPING STONES SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2024 
","SECTOR 37-D CHANDIGARH,160036","0172,2636751","
Head/Principal Name:Anu Kumar
"
THE BANYAN TREE SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR 48B, CHANDIGARH,160047","0172,4602453","
Head/Principal Name:SUDESHNA SHARMA
"
THE BRITISH SCHOOL SECTOR 44B,CHANDIGARH,"
Affiliated up to: 31/03/2022 
","SECTOR 44-B, CHANDIGARH,160047","0172,4605000","
Head/Principal Name:Mona Sethi
"
THE NEW PUBLIC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR-18B CHANDIGARH,160026","0172,2774162","
Head/Principal Name:RD Singh
"
THE TRIBUNE MODEL SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR-29D CHANDIGARH 160020,160020","0172,2655078","
Head/Principal Name:VANDANA SAXENA
"
VEDIC GIRLS SR.SEC SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2027 
","MANIMAJRA CHANDIGARH,160101","0172,2734313","
Head/Principal Name:MAENGLISH,BEDMATHS
"
VIVEK HIGH SCHOOL,CHANDIGARH,"
Affiliated up to: 31/03/2025 
","SECTOR-38B CHANDIGARH,160036","0172,2698988","
Head/Principal Name:RENU PURI
"
AADESHWAR ACADEMY,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","HALBA KACHORA, ADAWAL, JAGDALPUR, DISTT BASTAR, CHHATTISGARH,494001","7782,264500","
Head/Principal Name:Pradip Kumar Pandey
"
AADHARSHILA,CHATTISGARH,"
Affiliated up to: 31/03/2025 
","VILLAGE BIJABHAT BHATAPARA RAIPUR,493118","7726,220254","
Head/Principal Name:Chhote Lal Shukla
"
AADHARSHILA VIDYA MANDIR,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","BEHIND GOVT. ENGG. COLLEGE, RAMTALA ROAD, KONI,495009","0775,2260085","
Head/Principal Name:NITU SHARMA
"
AARYAN PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","OPPOSITE URGA PETROL PUMP URGA,495677",",7772030008","
Head/Principal Name:MR. MANGAL MURTI SHARMA
"
AARYAN PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","KORBA, CHAMPA ROAD , URGA , KORBA,495677",",7772030008","
Head/Principal Name:MRS. NEELAM SINGH
"
"AASTHA VIDYA MANDIR ENGLISH MEDIUM, AT. EDUCATION CITY,",CHATTISGARH,"
Affiliated up to: 31/03/2023 
","JAWANGA,P.O. GEEDAM, DISTT. DANTEWADA , CHHATTISGARH- 494 441,143001","7856,2244477","
Head/Principal Name:SANTOSH PRADHAN
"
ABHYUDAY SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","SARODHA CANAL ROAD, RAJNANDGAON ROAD, KAWARDHA DISTT, CHHATTISGARH,491559","9522,272239","
Head/Principal Name:SUBHASH CHANDRA VERMA
"
ACADEMIC BRIGHTS PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
",",496661",",09575420094","
Head/Principal Name:
"
ACADEMIC HEIGHTS PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","TENDUDAND, VIKASKHAND- MANENDRAGARH, DISTT- KORIYA, CHATTISGARH,497442",",07771243953","
Head/Principal Name:MR. P. RAVI SHANKAR
"
ACADEMIC WORLD SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","""VAKRANGEE"" NH-12A, VILLAGE-LOLESARA, BEMETARA, DISTT DURG (C.G.),491335","7824,9179997333","
Head/Principal Name:JASHVIR CHAUDHARY
"
"ADANI VIDYA MANDIR, SURGUJA",CHATTISGARH,"
Affiliated up to: 31/03/2022 
","VILLAGE : SALHI, POST : DANDGAON, BLOCK : UDAIPUR, SURGUJA, CHHATTISGARH - 497001,497001",",9898645421","
Head/Principal Name:MR. RAJANIKANT SHARMA
"
ADARSH INTERNATIONAL SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","A-4, SECTOR 30, NAYA RAIPUR,492002",",8889020003","
Head/Principal Name:MRS. JASVEER SARKAR
"
"ADARSH VIDYALALYA, ADARSH NAGAR, MOWA, RAIPUR, C.G.",CHATTISGARH,"
Affiliated up to: 31/03/2025 
","ADARSH VIDYALAYA, MOWA,RAIPUR,492007","0771,07714046318","
Head/Principal Name:MRS. SABITA CHATURVEDI
"
ADARSH VIDYALAYA ENG. MED. HR. SEC. SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","SEC.-1, UDAYA SOCIETY, TATIBANDH,492099","0771,2573303,","
Head/Principal Name:MR. ANIL PILLAI
"
ADESHWAR PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","KHAMARGAON JAGDALPUR BASTAR C.G. 494001,494001","7782,07782227744","
Head/Principal Name:MRS. RANI MATHEW
"
AGARWAL PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","PLOT B-4, SECTOR - 28,492015",",07712430111","
Head/Principal Name:MRS. ROHINI THAPPA
"
AGHORE VIDYA PEETHA,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","PONDI DALHA AKALTARA,495552",",7471111834","
Head/Principal Name:MR. SURAJ PRAKASH
"
AGRSEN INTERNATIONAL SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","VILL.& POST-DAGANIA,491221",",8959593939","
Head/Principal Name:Mrs.P ANNAPURNA
"
AHILYA INTERNATIONAL SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","AHILYA INTERNATIONAL SCHOOL BALODA BAZAR VILLAGE-LAHOD,493526",",7697437003","
Head/Principal Name:MISS ANJALI
"
AKSHAR THE SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","SANJAY NAGAR, AJAB NAGAR,497001","0774,9203744440","
Head/Principal Name:Digamber Dayal Rana
"
ALLONS PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2025 
","VILL BIJABHAT BEMETARA DISTT BEMETARA CHHATTISGARH,491335","7824,07824222508","
Head/Principal Name:Dr. Satyajit Hota
"
ALOK INTERNATIONAL SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2026 
","SHOBHA VATIKA, RAJGHATTA, PO-KHARSIA, DIST-RAIGARH(C.G.),496661",",07762-214071","
Head/Principal Name:DR. MANIKINKAR PATTANAYAK
"
ALPHA PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","OPP. INDIAN OIL PETROL PUMP, RAIPUR ROAD, MUNGELI,495334",",8103608888","
Head/Principal Name:MRS. MOUSUMI MUKHERJEE
"
AMBITION PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2026 
","DHUTPUR, PANDARIYA, DISTT-KAWARDHA (C.G.),491559","1262,09993645450","
Head/Principal Name:Dr.Shiv Poojan Pandey
"
AMBUJA VIDYA PEETH,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","VILL. & POST- RAWAN, DIST. BALODA BAZAR, BHATAPARA,,493331","7727,220220","
Head/Principal Name:SANJAY KUMAR PANDEY
"
AMIBITION ENGLISH MEDIUM SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2013 
","PITHAMPURA CHOWK KHUKSHA JANGGER CHHATTISGARH,495668","07759,229204","
Head/Principal Name:SHRI S MATIAPATRA
"
AMRESH SHARMA PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","P.O. BSI, DHANA, DURG (C.G.),491001","0788,9893496809","
Head/Principal Name:Rohini Rao
"
ANGEL VALLEY SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2017 
","OPP. 32 BANGALOWS HOSPITAL SECTOR BHILAI CHHATTISGARH,490009","0788,2242890","
Head/Principal Name:Mrs. SUMA SHEKAR
"
ARICENT PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","MAIN ROAD , PATEL PALI,NH-216,RAIGARH,496001","7762,233390","
Head/Principal Name:DR  S K MAHARANA
"
ARIHANT ACADEMY,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","KHASRA NO. 842, 843/4, 843/5, AT VILL- BAGHMARA, TEHSIL- BALOD, DISTRICT- BALOD, CHHATTISGARH,491226",",6232100307","
Head/Principal Name:MISS UPASANA VAIDYA
"
ARUNDHATI GOVT HIGHER SEC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2004 
","ARANG RAIPUR CHHATTISGARH,493441",",","
Head/Principal Name:
"
ARUNODAYA PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2024 
","KHASRA NO. 3096/1 P H NO 1 AT VILLAGE KARLI,494441",",07856225247","
Head/Principal Name:MRS. NILIMA RATH
"
ASHOKA PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","RAIPUR ROAD SARANGAH, RAIGARH,496445","7768,233905","
Head/Principal Name:JASHABANTA MISHRA
"
ATHENA WORLD SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","VILLAGE BOTHLINEAR AMLESHWAR, MAHADEO GHAT ROAD,491111",",9329004500","
Head/Principal Name:MR. SANJAY SHARMA
"
B S P SENIOR SEC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2017 
","SECTOR-VI BHILAI NAGAR DT DURG CHHATTISGARH,490006",",4993","
Head/Principal Name:SHRI A B PALIA
"
B S P SR SEC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","SECTOR X BHILAI NAGAR DURG CHHATTISGARH,490006","0788,2855411","
Head/Principal Name:Arvind Kumar Varma
"
B S P SR SEC SCHOOL NO.2,CHATTISGARH,"
Affiliated up to: 31/03/2025 
","SECTOR 6 BHILAI DURG CHHATTISGARH,490001","0788,2858868","
Head/Principal Name:S K BAHADUR
"
BAILADILA IRON ORE PROJECT S SEC SCH,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","KIRANDUL DANTEWADA CHHATTISGARH,494556","7857,255254","
Head/Principal Name:R S GAUTAM
"
BAL BHARATI PUBLIC SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","NTPC, TEHSIL - SIPAT, DIST. BILASPUR,495558","7752,246607","
Head/Principal Name:Shalabh Nigam
"
BEACON ENGLISH MEDIUM HIGHER SECONDARY SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","KORBA, KATGHORA SHAKTI NAGAR, CHHATISGARH.,495452","7815,275143","
Head/Principal Name:NURAM SINGH
"
BETHANY VIDYALAYA,CHATTISGARH,"
Affiliated up to: 31/03/2025 
","BORSI DURG CHHATTISGARH,491001","0788,2344141","
Head/Principal Name:Sister Prakash
"
BHARAT MATA SENIOR SECONDARY SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","BHARAT MATA SENIOR SECONDARY SCHOOL, TATIBANDH, RAIPUR. 492099,492099","0771,07712572485","
Head/Principal Name:MISS V.M.PUSHPALATHA
"
BHARAT MATA SR.SEC.SCHOOL,CHATTISGARH,"
Affiliated up to: 31/03/2022 
","BHARAT MATA SR.SEC.SCHOOL, SECTOR 26, RAKHI, NAYA RAIPUR, C.G.,492015",",7354102283","
Head/Principal Name:MISS THOMASAMMA PEDAKOTLA
"
BHAVANS R.K. SARDA VIDYA MANDIR,CHATTISGARH,"
Affiliated up to: 31/03/2023 
","GSI-TI VIA MCF SADDU-BARONDA ROAD,VILL: BARONDA,493111","0771,6619701","
Head/Principal Name:Amitava Ghosh
"
